incident,cause
Underwent a life-saving surgery.,Medical Trauma
"Underwent a life-threatening surgery to remove a brain tumor, grappling with the uncertainty of the outcome and its impact on my life",Medical Trauma
Underwent a medical malpractice incident.,Medical Trauma
Underwent a medical misdiagnosis leading to unnecessary treatment.,Medical Trauma
Underwent a medical procedure resulting in complications.,Medical Trauma
Underwent a medical procedure resulting in nerve damage.,Medical Trauma
Underwent a medical procedure with adverse side effects.,Medical Trauma
Underwent a medical procedure with complications.,Medical Trauma
Underwent a medical procedure with incorrect dosage.,Medical Trauma
Underwent a medical procedure with medication errors.,Medical Trauma
Underwent a medical procedure with post-operative complications.,Medical Trauma
Underwent a medical procedure with severe allergic reactions.,Medical Trauma
Underwent a medical procedure without proper anesthesia.,Medical Trauma
"Underwent a risky experimental treatment for a rare disease, navigating the uncertainty and potential side effects",Medical Trauma
Underwent a risky medical procedure due to a misdiagnosis.,Medical Trauma
Underwent a surgical complication resulting in prolonged recovery.,Medical Trauma
Underwent a surgical error leading to prolonged recovery.,Medical Trauma
Underwent a surgical error resulting in complications.,Medical Trauma
Underwent a surgical error resulting in permanent damage.,Medical Trauma
Underwent a traumatic medical procedure.,Medical Trauma
Underwent a wrong diagnosis leading to delayed treatment.,Medical Trauma
"Experienced a traumatizing sexual assault by a trusted acquaintance, feeling violated and grappling with deep emotional scars",Rape
I was in a situation where I felt like I was going to be raped.,Rape
I was raped by my father.,Rape
I was the victim of child abuse.,Rape
"Lost my sense of safety and trust after a harrowing sexual assault by a close friend, battling with fear and self-blame",Rape
"Suffered a brutal sexual assault in a public setting, battling intense fear, shame, and the painful process of rebuilding my life",Rape
"Suffered a harrowing sexual assault during a solo backpacking trip, feeling the loss of safety and trust in the world",Rape
"Suffered a life-altering sexual assault at a college party, grappling with the shattered trust and a long journey towards healing",Rape
"Suffered a life-changing sexual assault in a public space, fighting to reclaim my sense of safety, trust, and self-worth",Rape
Suffered a sexual assault at a college party.,Rape
Suffered a sexual assault at a music festival.,Rape
Suffered a sexual assault at a party.,Rape
Suffered a sexual assault at a social event.,Rape
Suffered a sexual assault at a social gathering.,Rape
Suffered a sexual assault by a known acquaintance.,Rape
Suffered a sexual assault by a stranger.,Rape
Suffered a sexual assault by an acquaintance.,Rape
Suffered a sexual assault in a public park.,Rape
Suffered a sexual assault in a workplace setting.,Rape
Suffered a sexual assault in my school.,Rape
Suffered a sexual assault while traveling abroad.,Rape
Suffered a sexual assault.,Rape
Suffered a sexual harassment incident.,Rape
"Suffered a traumatic sexual assault by a group of assailants, struggling with intense fear, shame, and flashbacks",Rape
"Suffered a traumatic sexual assault by a stranger in a deserted alley, haunted by the horrifying details of the attack",Rape
"Suffered a traumatic sexual assault by a trusted authority figure, grappling with the betrayal, shame, and the pursuit of justice",Rape
Suffered workplace assault and victimization.,Rape
Suffered workplace bullying and intimidation.,Rape
Suffered workplace discrimination based on gender.,Rape
Suffered workplace harassment and discrimination.,Rape
Suffered workplace harassment based on race.,Rape
Suffered workplace harassment based on sexual orientation.,Rape
Some odd looking man chased me in to a corner and used my ass for his pleasure,Rape
Suffered workplace sexual harassment.,Rape
"Endured a life-threatening boat accident in the midst of a raging storm, desperately clinging to hope and the will to survive",Road Accident
"Got caught in a horrific multi-vehicle pileup on a foggy highway, feeling the impact of collisions from all sides",Road Accident
I was in a car accident and saw my friend die.,Road accident
I was in a car accident and was badly injured.,Road accident
Involved in a bicycle accident with a pedestrian.,Road Accident
Involved in a bus collision on a foggy day.,Road Accident
Involved in a collision with a delivery truck.,Road Accident
Involved in a collision with a distracted cyclist.,Road Accident
Involved in a collision with a distracted driver.,Road Accident
Involved in a collision with a distracted pedestrian.,Road Accident
Involved in a collision with a drunk driver.,Road Accident
Involved in a collision with a reckless driver.,Road Accident
Involved in a collision with a speeding car.,Road Accident
Involved in a collision with a speeding motorcycle.,Road Accident
Involved in a collision with a speeding truck.,Road Accident
Involved in a collision with a speeding vehicle.,Road Accident
Involved in a head-on collision with a drunk driver.,Road Accident
Involved in a multi-vehicle collision on a highway.,Road Accident
Involved in a pedestrian accident.,Road Accident
Involved in a severe car accident and got deadly wounds.,Road Accident
Involved in a severe car accident.,Road Accident
Survived a bicycle accident caused by a negligent driver.,Road Accident
Survived a bus accident caused by reckless driving.,Road Accident
Survived a bus crash due to poor road conditions.,Road Accident
Survived a car collision due to poor visibility.,Road Accident
Survived a car collision due to poor weather conditions.,Road Accident
Survived a car crash on a busy highway.,Road Accident
"Survived a catastrophic bus crash, witnessing the chaos, injuries, and the fragility of life in a single moment",Road Accident
"Survived a catastrophic plane crash, emerging from the wreckage with physical injuries and emotional scars",Road Accident
"Survived a catastrophic train derailment, narrowly escaping the wreckage and witnessing the chaos and panic around me",Road Accident
"Survived a head-on collision with a drunk driver, witnessing the twisted wreckage and the fragility of life",Road Accident
"Survived a high-speed collision with a reckless driver, witnessing the mangled wreckage and the fragility of life",Road Accident
Survived a hit-and-run accident while crossing the road.,Road Accident
"Survived a horrific bus collision on a treacherous mountain road, witnessing the wreckage, injuries, and the fragility of life",Road Accident
Survived a motorcycle accident due to a driver's negligence.,Road Accident
Survived a motorcycle accident due to reckless driving.,Road Accident
Survived a motorcycle accident.,Road Accident
Survived a motorcycle collision with a truck.,Road Accident
Survived a rollover accident on a rural road.,Road Accident
Survived a rollover accident on a slippery road.,Road Accident
Survived a scooter accident caused by a negligent driver.,Road Accident
Survived a scooter collision with a car.,Road Accident
"Survived a terrifying plane emergency landing, enduring the panic, turbulence, and the realization of mortality",Road Accident
Survived a train accident due to a mechanical failure.,Road Accident
Survived a train accident due to signal failure.,Road Accident
Survived a train derailment due to track failure.,Road Accident
Survived a truck collision on a busy highway.,Road Accident
"Faced the devastation of a massive tsunami that struck coastal towns, participating in relief efforts to rebuild shattered lives.",Natural Disasters
"Confronted a catastrophic earthquake that reduced cities to rubble, grappling with the destruction and the long road to recovery.",Natural Disasters
"Managed the wrath of a relentless wildfire that consumed vast areas, witnessing the destruction of nature's beauty and habitats.",Natural Disasters
Supported rebuilding efforts after the impact of a monstrous cyclone that tore through a coastal community.,Natural Disasters
"Faced the loss of cherished belongings and memories to a deadly flood, advocating for disaster preparedness.",Natural Disasters
"Responded to the call for help in the aftermath of a massive tsunami, witnessing the sheer destruction and the collective resilience of communities. Amidst the debris, there was a glimmer of hope in the human spirit's capacity to rebuild even in the face of overwhelming devastation.",Natural Disasters
"Stepped forward to support rebuilding efforts after a catastrophic earthquake shattered cities and lives, the rebuilding process a testament to the indomitable human will. Each brick laid and each life rebuilt was a refusal to succumb to the forces of nature.",Natural Disasters
"Faced the wrath of a relentless wildfire that consumed everything in its path, the scent of charred wood and the haze of smoke etching into memory the urgency of protecting the environment. Amidst the ruins, the seeds of renewal and regrowth were sown.",Natural Disasters
"Witnessed the havoc wreaked by a monstrous cyclone on a coastal community, the aftermath a canvas on which resilience was painted in bold strokes. The strength of humanity to come together in the face of disaster was both a source of inspiration and a testament to the power of unity.",Natural Disasters
"Lost cherished possessions and memories to a deadly flood, the road to recovery a journey of redefining what truly mattered. Amidst the waters, there was a realization that the strength of human bonds and the capacity to adapt were the true treasures that withstood the test of nature.",Natural Disasters
"Endured a deadly minefield encounter during a wartime mission, facing the devastation of explosions and the bravery of comrades.",War
"Overcame a catastrophic tank collision during a military operation, managing the impact, injuries, and the chaos of battle.",War
"Navigated severe injuries in a helicopter crash on enemy territory, striving to survive and evade capture behind enemy lines.",War
"Faced the fall of a fortified base under enemy assault, carrying the memory of fallen soldiers and the toll of conflict.",War
"Lost my best friend to an artillery strike in a war-torn city, haunted by memories of their sacrifice and the ravages of war.",War
"Endured a deadly minefield encounter during a wartime mission, facing the devastation of explosions and the bravery of comrades.",War
"Lost my childhood home and belongings in a devastating war, forced to flee and rebuild my life from scratch",War
"Lost my closest friends and comrades in a fierce battle, carrying the weight of their memory and the trauma of war",War
"Lost my comrades in a dangerous military mission, haunted by their memory and the scars of war",War
"Lost my dearest friends in a violent war zone, carrying the weight of their memory and the horrors of conflict",War
"Lost my entire family in a deadly terrorist attack, grappling with grief, survivor's guilt, and a shattered sense of security",War
"Lost my friends and comrades in a deadly war, struggling with survivor's guilt, PTSD, and the pursuit of peace",War
"Lost my loved ones in a brutal war conflict, carrying the weight of grief, loss, and the search for meaning",War
"Survived a brutal ambush during a military operation in enemy territory, witnessing comrades fall in the line of duty",War
"Survived a devastating terrorist attack on a crowded train station, witnessing the chaos and the resilience of humanity",War
Witnessed a bombing during a war conflict.,War
Witnessed a hostage situation in a public place.,War
Witnessed a military combat operation.,War
Witnessed a tragic shooting incident.,War
